ID,Name,Sheltered,Ramps,Electric,Directional
H8,BLKS 4-8 TAMAN HO SWEE,0,0,0,1
J1,BLK 101/107 JURONG EAST STREET 13,0,0,0,1
J2,BLK 108/110 JURONG EAST STREET 13,0,0,0,1
J3,BLK 111/116 JURONG EAST STREET 13,0,0,0,1
J4,BLK 201/206 JURONG EAST STREET 21,0,0,0,1
J5,BLK 207/208 JURONG EAST STREET 21,0,0,0,1
J6,BLK 209/214 JURONG EAST STREET 21,0,0,0,1
J7,BLK 215A/231 JURONG EAST STREET 21,0,0,0,1
J8,BLK 232/240 JURONG EAST STREET 21,0,0,0,1
J9,BLK 241/245 JURONG EAST STREET 24,0,0,0,1
K2,"BLK 9,10,12 PINE CLOSE",0,0,0,1
K2,"BLK 9,10,12 PINE CLOSE",0,0,0,1
K2,"BLK 9,10,12 PINE CLOSE",0,0,0,1
K7,BLK 51 OLD AIRPORT ROAD,0,0,0,1
L1,BLK 415-420 LORONG LEW LIAN,0,0,0,1
M1,BLK 85 TO 94/92A PIPIT ROAD,0,0,0,1
M1,BLK 85 TO 94/92A PIPIT ROAD,0,0,0,1
M1,BLK 85 TO 94/92A PIPIT ROAD,0,0,0,1
M3,BLK 19 TO 21/23/24/30/32 BALAM ROAD,0,0,0,1
M4,BLK 22/34/36 CIRCUIT ROAD,0,0,0,1
P1,BLK 196 PUNGGOL FIELD,1,1,0,1
P2,BLK 199 PUNGGOL FIELD,1,1,0,1
P3,BLK 101 PUNGGOL FIELD,1,1,0,1
P4,BLK 105 EDGEFIELD PLAINS,1,1,0,1
P5,BLK 107 PUNGGOL FIELD,1,1,0,1
P6,BLK 109 PUNGGOL FIELD,1,1,0,1
P7,BLK 119 EDGEFIELD PLAINS,1,1,0,1
P8,BLK 126 EDGEDALE PLAINS,1,1,0,1
P9,BLK 128 PUNGGOL FIELD WALK,1,1,0,1
Q8,BLK 19/23A/23B QUEENS CLOSE,0,0,0,1
Q8,BLK 19/23A/23B QUEENS CLOSE,0,0,0,1
Q8,BLK 19/23A/23B QUEENS CLOSE,0,0,0,1
T1,BLK 101/108 TAMPINES STREET 11,0,0,0,1
T3,BLK 109/114 TAMPINES STREET 11,0,0,0,1
T4,BLK 124/127 TAMPINES STREET 11,0,0,0,1
T7,BLK 136/138 TAMPINES STREET 11,0,0,0,1
T8,BLK 137/139 TAMPINES STREET 11,0,0,0,1
T9,BLK 140/148 TAMPINES STREET 12,0,0,0,1
U1,BLK 101/110 BUKIT BATOK WEST AVENUE 6,0,0,0,1
U2,BLK 111/132 BUKIT BATOK WEST AVENUE 6,0,0,0,1
U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,0,0,0,1
U4,BLK 140/143 BUKIT BATOK STREET 11,0,0,0,1
U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,0,0,0,1
U6,BLK 150/158 BUKIT BATOK STREET 11,0,0,0,1
U7,BLK 159/164 BUKIT BATOK STREET 11,0,0,0,1
U8,BLK 165/168 BUKIT BATOK WEST AVENUE 8,0,0,0,1
U9,BLK 169/177 BUKIT BATOK WEST AVENUE 8,0,0,0,1
W4,BLK 6/7 MARSILING DRIVE,0,0,0,1
W5,BLK 10/13 MARSILING LANE,0,0,0,1
W6,BLK 15/16 MARSILING LANE,0,0,0,1
W7,BLK 17/21 MARSILING LANE,0,0,0,1
Y1,BLK 101/102 YISHUN AVENUE 5,0,0,0,1
Y1,BLK 101/102 YISHUN AVENUE 5,0,0,0,1
Y1,BLK 101/102 YISHUN AVENUE 5,0,0,0,1
Y1,BLK 101/102 YISHUN AVENUE 5,0,0,0,1
Y2,BLK 103/111 YISHUN RING ROAD,0,0,0,1
Y2,BLK 103/111 YISHUN RING ROAD,0,0,0,1
Y2,BLK 103/111 YISHUN RING ROAD,0,0,0,1
Y2,BLK 103/111 YISHUN RING ROAD,0,0,0,1
Y3,BLK 112/120 YISHUN RING ROAD,0,0,0,1
Y4,BLK 121/143 YISHUN STREET 11/RING ROAD,0,0,0,1
Y5,BLK 144/149 YISHUN STREET 11,0,0,0,1
Y6,BLK 150/161 YISHUN STREET 11,0,0,0,1
Y7,BLK 701/716 & 701B YISHUN AVENUE 5,0,0,0,1
Y8,BLK 731/746 YISHUN STREET 71/72/AVENUE 5,0,0,0,1
Y9,BLK 747/752 YISHUN STREET 72,0,0,0,1
A10,BLK 201/202 ANG MO KIO STREET 22,0,0,0,1
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,0,0,0,1
A12,BLK 229/230 ANG MO KIO STREET 22,0,0,0,1
A12,BLK 229/230 ANG MO KIO STREET 22,0,0,0,1
A12,BLK 229/230 ANG MO KIO STREET 22,0,0,0,1
A12,BLK 229/230 ANG MO KIO STREET 22,0,0,0,1
A13,BLK 232/233 ANG MO KIO STREET 22,0,0,0,1
A13,BLK 232/233 ANG MO KIO STREET 22,0,0,0,1
A13,BLK 232/233 ANG MO KIO STREET 22,0,0,0,1
A13,BLK 232/233 ANG MO KIO STREET 22,0,0,0,1
A15,BLK 226E-226H ANG MO KIO STREET 22,0,0,0,1
A20,BLK 304/307/319 ANG MO KIO STREET 31,0,0,0,1
A21,BLK 325/326/301 ANG MO KIO STREET 31,0,0,0,1
A24,BLK 338/340 ANG MO KIO STREET 32,0,0,0,1
A25,BLK 330/337 ANG MO KIO AVENUE 8,0,0,0,1
A26,BLK 113/114/118 ANG MO KIO AVENUE 4,0,0,0,1
A27,BLK 108/109/110 ANG MO KIO STREET 11,0,0,0,1
A28,BLK 103/105/107 ANG MO KIO STREET 11,0,0,0,1
A29,BLK 347 ANG MO KIO AVENUE 3,0,0,0,1
A30,BLK 129/134 ANG MO KIO STREET 12,0,0,0,1
A31,BLK 119/128 ANG MO KIO STREET 12,0,0,0,1
A33,BLK 253/254 ANG MO KIO STREET 21,0,0,0,1
A33,BLK 253/254 ANG MO KIO STREET 21,0,0,0,1
A33,BLK 253/254 ANG MO KIO STREET 21,0,0,0,1
A33,BLK 253/254 ANG MO KIO STREET 21,0,0,0,1
A34,BLK 422/425 ANG MO KIO STREET 42,0,0,0,1
A35,BLK 426/428/435 ANG MO KIO STREET 43,0,0,0,1
A36,BLK 436/443/445 ANG MO KIO STREET 43,0,0,0,1
A37,BLK 446/449/453 ANG MO KIO STREET 43,0,0,0,1
A38,BLK 407/410/421 ANG MO KIO AVENUE 10,0,0,0,1
A39,BLK 401/405 ANG MO KIO AVENUE 10,0,0,0,1
A40,BLK 471/476 ANG MO KIO STREET 44,0,0,0,1
A41,BLK 466/470 ANG MO KIO STREET 44,0,0,0,1
A42,BLK 461/465 ANG MO KIO STREET 44,0,0,0,1
A43,BLK 457/458/460 ANG MO KIO STREET 44,0,0,0,1
A44,BLK 459/456 ANG MO KIO STREET 44,0,0,0,1
